iter	Passed	Remaining
407	6422	17189
408	6438	17174
409	6452	17154
410	6466	17134
411	6480	17114
412	6494	17092
413	6508	17072
414	6522	17053
415	6536	17032
416	6550	17011
417	6564	16992
418	6578	16972
419	6592	16951
420	6609	16940
421	6648	16984
422	6663	16965
423	6677	16945
424	6691	16925
425	6705	16905
426	6720	16887
427	6734	16867
428	6748	16847
429	6763	16829
430	6776	16808
431	6794	16796
432	6811	16785
433	6830	16778
434	6850	16771
435	6869	16763
436	6885	16748
437	6903	16739
438	6923	16731
439	6941	16721
440	6958	16709
441	6975	16697
442	6994	16688
443	7012	16677
444	7028	16663
445	7045	16650
446	7062	16637
447	7077	16620
448	7092	16601
449	7106	16581
450	7120	16562
451	7138	16551
452	7152	16530
453	7168	16517
454	7183	16498
455	7199	16482
456	7214	16464
457	7232	16454
458	7247	16438
459	7265	16426
460	7281	16411
461	7299	16399
462	7315	16384
463	7331	16369
464	7349	16358
465	7366	16345
466	7382	16331
467	7400	16319
468	7417	16305
469	7433	16291
470	7452	16280
471	7465	16259
472	7478	16237
473	7493	16220
474	7507	16201
475	7522	16182
476	7536	16163
477	7551	16146
478	7565	16125
479	7578	16105
480	7592	16084
481	7607	16066
482	7625	16055
483	7641	16039
484	7658	16028
485	7680	16024
486	7698	16013
487	7713	15996
488	7732	15986
489	7749	15972
490	7765	15957
491	7781	15942
492	7795	15923
493	7812	15909
494	7828	15894
495	7846	15883
496	7866	15875
497	7886	15867
498	7900	15848
499	7915	15831
500	7930	15814
501	7944	15794
502	7958	15775
503	7973	15757
504	7987	15737
505	8001	15719
506	8015	15698
507	8028	15678
508	8044	15662
509	8061	15649
510	8079	15637
511	8097	15626
512	8117	15617
513	8134	15604
514	8151	15590
515	8167	15574
516	8182	15556
517	8199	15543
518	8217	15532
519	8234	15518
520	8253	15508
521	8271	15496
522	8287	15481
523	8305	15470
524	8328	15466
525	8344	15451
526	8361	15437
527	8376	15421
528	8393	15406
529	8409	15391
530	8425	15374
531	8441	15359
532	8460	15349
533	8478	15337
534	8496	15325
535	8515	15315
536	8532	15300
537	8547	15284
538	8564	15270
539	8579	15253
540	8597	15239
541	8612	15222
542	8630	15209
543	8645	15193
544	8661	15177
545	8677	15160
546	8692	15143
547	8707	15126
548	8723	15110
549	8738	15093
550	8756	15081
551	8772	15066
552	8790	15053
553	8809	15042
554	8827	15031
555	8846	15019
556	8864	15007
557	8881	14992
558	8895	14973
559	8908	14954
560	8921	14933
561	8938	14918
562	8960	14912
563	8974	14894
564	8988	14875
565	9008	14865
566	9022	14846
567	9036	14827
568	9049	14806
569	9064	14788
570	9078	14770
571	9092	14751
572	9107	14733
573	9121	14715
574	9136	14697
575	9155	14686
576	9169	14668
577	9183	14649
578	9196	14629
579	9210	14610
580	9223	14588
581	9236	14569
582	9251	14551
583	9265	14532
584	9278	14512
585	9292	14493
586	9306	14474
587	9320	14456
588	9334	14438
589	9352	14424
590	9367	14408
591	9382	14391
592	9397	14373
593	9411	14355
594	9425	14336
595	9439	14317
596	9454	14300
597	9468	14281
598	9481	14262
599	9495	14243
600	9509	14224
601	9522	14205
602	9538	14189
603	9554	14173
604	9568	14155
605	9584	14139
606	9597	14119
607	9610	14099
608	9624	14081
609	9638	14062
610	9651	14043
611	9664	14023
612	9679	14005
613	9692	13986
614	9706	13967
615	9719	13948
616	9733	13930
617	9748	13912
618	9766	13900
619	9786	13890
620	9806	13880
621	9824	13868
622	9841	13853
623	9857	13837
624	9873	13823
625	9886	13803
626	9901	13786
627	9915	13768
628	9929	13750
629	9943	13732
630	9957	13713
631	9974	13699
632	9990	13683
633	10004	13665
634	10029	13661
635	10043	13643
636	10056	13624
637	10071	13607
638	10085	13588
639	10099	13571
640	10115	13555
641	10128	13536
642	10144	13520
643	10161	13506
644	10179	13493
645	10197	13480
646	10214	13466
647	10232	13453
648	10252	13444
649	10274	13435
650	10289	13419
651	10306	13404
652	10323	13390
653	10339	13375
654	10354	13357
655	10368	13339
656	10384	13324
657	10399	13306
658	10414	13290
659	10427	13270
660	10441	13252
661	10454	13233
662	10468	13215
663	10482	13198
664	10496	13179
665	10510	13161
666	10524	13143
667	10537	13124
668	10551	13107
669	10565	13088
670	10580	13071
671	10592	13051
672	10606	13032
673	10620	13016
674	10635	12998
675	10650	12981
676	10663	12962
677	10676	12944
678	10690	12925
679	10703	12907
680	10718	12890
681	10732	12872
682	10746	12854
683	10758	12834
684	10774	12819
685	10792	12806
686	10809	12792
687	10829	12781
688	10848	12769
689	10863	12753
690	10878	12736
691	10892	12717
692	10906	12700
693	10921	12684
694	10938	12669
695	10951	12650
696	10964	12632
697	10979	12615
698	10995	12599
699	11012	12585
700	11029	12570
701	11046	12557
702	11063	12542
703	11084	12533
704	11101	12518
705	11117	12503
706	11134	12489
707	11152	12475
708	11169	12461
709	11187	12447
710	11203	12432
711	11220	12417
712	11235	12401
713	11254	12389
714	11271	12375
715	11288	12360
716	11305	12346
717	11322	12331
718	11341	12319
719	11361	12308
720	11378	12293
721	11394	12278
722	11411	12263
723	11427	12248
724	11444	12233
725	11461	12219
726	11478	12204
727	11495	12190
728	11510	12173
729	11527	12158
730	11542	12142
731	11560	12128
732	11577	12114
733	11594	12099
734	11611	12085
735	11651	12094
736	11673	12085
737	11692	12072
738	11708	12057
739	11725	12042
740	11742	12027
741	11759	12013
742	11776	11998
743	11795	11985
744	11812	11970
745	11828	11955
746	11845	11940
747	11860	11923
748	11873	11905
749	11889	11889
750	11907	11875
751	11922	11858
752	11941	11846
753	11957	11830
754	11975	11816
755	11990	11800
756	12004	11782
757	12018	11764
758	12033	11747
759	12047	11730
760	12061	11712
761	12076	11696
762	12091	11679
763	12106	11662
764	12125	11649
765	12139	11632
766	12156	11617
767	12174	11603
768	12197	11594
769	12210	11576
770	12223	11558
771	12236	11538
772	12248	11519
773	12261	11501
774	12275	11483
775	12291	11467
776	12306	11451
777	12320	11434
778	12334	11416
779	12348	11398
780	12361	11380
781	12377	11364
782	12394	11349
783	12412	11335
784	12429	11321
785	12447	11307
786	12465	11293
787	12481	11277
788	12494	11259
789	12513	11245
790	12530	11231
791	12548	11217
792	12567	11204
793	12599	11203
794	12613	11185
795	12626	11167
796	12640	11149
797	12653	11131
798	12667	11113
799	12681	11096
800	12694	11077
801	12708	11060
802	12721	11042
803	12737	11026
804	12751	11009
805	12765	10992
806	12782	10976
807	12813	10973
808	12828	10957
809	12859	10954
810	12872	10935
811	12885	10917
812	12900	10900
813	12914	10883
814	12927	10865
815	12941	10847
816	12957	10832
817	12971	10814
818	12985	10797
819	12998	10779
820	13012	10761
821	13026	10744
822	13041	10728
823	13057	10711
824	13072	10695
825	13086	10678
826	13101	10661
827	13115	10644
828	13129	10627
829	13143	10609
830	13158	10593
831	13175	10578
832	13188	10560
833	13203	10543
834	13219	10528
835	13234	10511
836	13249	10495
837	13263	10477
838	13279	10462
839	13294	10445
840	13309	10428
841	13322	10411
842	13335	10393
843	13348	10375
844	13363	10358
845	13382	10345
846	13397	10329
847	13412	10312
848	13426	10295
849	13440	10278
850	13453	10260
851	13467	10242
852	13480	10224
853	13496	10209
854	13510	10192
855	13524	10174
856	13540	10159
857	13554	10141
858	13567	10124
859	13581	10107
860	13598	10092
861	13612	10075
862	13630	10061
863	13644	10043
864	13661	10028
865	13674	10011
866	13688	9994
867	13702	9976
868	13715	9959
869	13729	9941
870	13742	9924
871	13756	9906
872	13770	9890
873	13788	9875
874	13810	9864
875	13829	9850
876	13847	9836
877	13863	9821
878	13876	9803
879	13890	9786
880	13903	9768
881	13916	9751
882	13931	9734
883	13995	9752
884	14009	9735
885	14026	9720
886	14043	9705
887	14058	9688
888	14073	9672
889	14087	9655
890	14102	9639
891	14117	9622
892	14131	9605
893	14145	9588
894	14158	9571
895	14172	9553
896	14187	9537
897	14200	9519
898	14213	9502
899	14229	9486
900	14245	9470
901	14259	9453
902	14273	9436
903	14286	9419
904	14300	9402
905	14314	9385
906	14328	9367
907	14342	9351
908	14358	9335
909	14371	9317
910	14385	9300
911	14399	9283
912	14414	9267
913	14428	9250
914	14444	9234
915	14459	9218
916	14477	9204
917	14490	9187
918	14503	9169
919	14516	9151
920	14530	9135
921	14543	9117
922	14557	9100
923	14571	9083
924	14585	9066
925	14599	9049
926	14613	9032
927	14626	9015
928	14641	8999
929	14655	8982
930	14671	8966
931	14686	8950
932	14699	8933
933	14713	8916
934	14727	8899
935	14743	8883
936	14757	8867
937	14774	8852
938	14790	8836
939	14807	8821
940	14822	8805
941	14840	8790
942	14855	8774
943	14870	8758
944	14887	8743
945	14902	8727
946	14927	8716
947	14949	8704
948	14968	8690
949	14986	8676
950	15004	8661
951	15022	8647
952	15038	8631
953	15058	8618
954	15075	8603
955	15090	8587
956	15104	8570
957	15121	8554
958	15136	8538
959	15151	8522
960	15165	8506
961	15182	8490
962	15197	8474
963	15212	8458
964	15226	8441
965	15239	8424
966	15252	8407
967	15267	8391
968	15283	8374
969	15296	8358
970	15311	8341
971	15324	8324
972	15337	8307
973	15353	8291
974	15368	8275
975	15384	8259
976	15398	8242
977	15412	8226
978	15429	8211
979	15443	8194
980	15457	8177
981	15471	8161
982	15488	8145
983	15504	8130
984	15519	8114
985	15532	8096
986	15545	8080
987	15559	8062
988	15572	8045
989	15585	8028
990	15598	8011
991	15614	7996
992	15633	7982
993	15660	7972
994	15676	7956
995	15694	7941
996	15714	7927
997	15734	7914
998	15750	7899
999	15767	7883
1000	15786	7869
1001	15802	7853
1002	15817	7837
1003	15834	7822
1004	15850	7807
1005	15864	7790
1006	15878	7773
1007	15893	7757
1008	15912	7743
1009	15926	7726
1010	15939	7709
1011	15952	7692
1012	15968	7676
1013	15982	7660
1014	15998	7644
1015	16013	7628
1016	16030	7613
1017	16047	7598
1018	16063	7582
1019	16079	7567
1020	16098	7552
1021	16114	7536
1022	16136	7523
1023	16158	7511
1024	16175	7496
1025	16192	7480
1026	16206	7464
1027	16220	7447
1028	16236	7431
1029	16250	7415
1030	16265	7399
1031	16278	7382
1032	16291	7365
1033	16310	7350
1034	16326	7335
1035	16343	7319
1036	16361	7305
1037	16378	7289
1038	16394	7274
1039	16410	7258
1040	16429	7244
1041	16445	7228
1042	16463	7213
1043	16478	7197
1044	16493	7181
1045	16506	7164
1046	16522	7148
1047	16536	7132
1048	16551	7115
1049	16566	7100
1050	16581	7083
1051	16596	7067
1052	16610	7051
1053	16625	7034
1054	16641	7019
1055	16659	7004
1056	16680	6991
1057	16697	6975
1058	16713	6960
1059	16730	6944
1060	16749	6930
1061	16771	6917
1062	16792	6903
1063	16808	6887
1064	16836	6876
1065	16851	6860
1066	16865	6844
1067	16880	6827
1068	16894	6811
1069	16907	6794
1070	16921	6777
1071	16935	6761
1072	16949	6744
1073	16964	6728
1074	16980	6713
1075	16999	6698
1076	17016	6683
1077	17034	6668
1078	17050	6652
1079	17065	6636
1080	17083	6621
1081	17100	6606
1082	17117	6591
1083	17131	6574
1084	17145	6557
1085	17158	6541
1086	17174	6525
1087	17187	6508
1088	17202	6492
1089	17216	6476
1090	17232	6460
1091	17247	6444
1092	17263	6428
1093	17276	6411
1094	17290	6395
1095	17304	6378
1096	17316	6361
1097	17331	6345
1098	17345	6328
1099	17360	6312
1100	17376	6297
1101	17394	6282
1102	17411	6266
1103	17427	6251
1104	17448	6237
1105	17466	6222
1106	17482	6206
1107	17498	6190
1108	17515	6175
1109	17533	6160
1110	17546	6143
1111	17562	6127
1112	17577	6111
1113	17591	6095
1114	17604	6078
1115	17617	6062
1116	17633	6046
1117	17647	6029
1118	17661	6013
1119	17677	5997
1120	17690	5980
1121	17705	5965
1122	17719	5948
1123	17734	5932
1124	17751	5917
1125	17769	5901
1126	17786	5886
1127	17803	5871
