iter	Logloss
382	0.6477207307
383	0.6476891731
384	0.6476488581
385	0.6476171041
386	0.6475642563
387	0.647520876
388	0.6474658383
389	0.6474270858
390	0.6473946991
391	0.6473358101
392	0.6472667463
393	0.6471276332
394	0.647072646
395	0.6470074004
396	0.6469761525
397	0.6469348865
398	0.6468769646
399	0.6468264459
400	0.6467903482
401	0.6467625182
402	0.6467294908
403	0.6466816348
404	0.6466527851
405	0.6466023706
406	0.6465691345
407	0.6465141773
408	0.6464552889
409	0.6464104924
410	0.6463585574
411	0.6463079402
412	0.6462519765
413	0.6462058562
414	0.6461502125
415	0.6460980514
416	0.6460614906
417	0.6460307085
418	0.6460075159
419	0.6459603059
420	0.645911013
421	0.6458677115
422	0.6458422775
423	0.645817771
424	0.6457881491
425	0.6457554438
426	0.6456748565
427	0.6456306102
428	0.6455913487
429	0.6455527943
430	0.6455248466
431	0.645477854
432	0.645454908
433	0.6454270841
434	0.6453870831
435	0.6453267505
436	0.6452765011
437	0.6452488882
438	0.6451748496
439	0.6451359457
440	0.6451074367
441	0.6450461069
442	0.6449919242
443	0.6449547207
444	0.6449078623
445	0.6448847341
446	0.6448384828
447	0.6447883784
448	0.6447616201
449	0.6447352277
450	0.6446302386
451	0.6445843265
452	0.6445509304
453	0.6445073806
454	0.6444649488
455	0.6444350608
456	0.6443934572
457	0.6443460261
458	0.64430674
459	0.6442123829
460	0.6441708884
461	0.6441152848
462	0.6440594373
463	0.6440283268
464	0.643986263
465	0.6439441051
466	0.643905555
467	0.643862018
468	0.6438217942
469	0.6437793576
470	0.6437314722
471	0.6436719166
472	0.6436314469
473	0.6435650147
474	0.6435131922
475	0.6434745274
476	0.6434075485
477	0.6433700096
478	0.643334171
479	0.6433044418
480	0.6432750518
481	0.643223075
482	0.6431955725
483	0.6431685664
484	0.6431170281
485	0.6430787176
486	0.6430256612
487	0.6429906126
488	0.6429453269
489	0.642919657
490	0.6428777726
491	0.6428410336
492	0.6428063945
493	0.6427545816
494	0.64273374
495	0.642692447
496	0.6426654832
497	0.6425777943
498	0.6425424474
499	0.6424936826
500	0.6424486698
501	0.6424229121
502	0.6424003603
503	0.6423328864
504	0.6422727731
505	0.6422430237
506	0.642216661
507	0.6421954527
508	0.642171655
509	0.6421474818
510	0.6421264911
511	0.6420429096
512	0.6420192385
513	0.6419812295
514	0.6419367242
515	0.641899425
516	0.6418672131
517	0.6418280487
518	0.6417674659
519	0.6417340451
520	0.641709848
521	0.6416838333
522	0.6416458255
523	0.641618774
524	0.6415844744
525	0.64155067
526	0.6415309668
527	0.6414926498
528	0.641469128
529	0.6414412043
530	0.6413832161
531	0.6413590508
532	0.6413338677
533	0.6412959956
534	0.6412484187
535	0.6412138384
536	0.6411401169
537	0.6411140165
538	0.6410916382
539	0.6410465088
540	0.6410182291
541	0.6409568471
542	0.6409035053
543	0.6408712997
544	0.6408527575
545	0.6407972475
546	0.6407683662
547	0.6407106487
548	0.6406552363
549	0.6406333194
550	0.6406111438
551	0.6405766846
552	0.6405354142
553	0.6405005611
554	0.6404786252
555	0.6404535684
556	0.6404056166
557	0.6403822828
558	0.6403386788
559	0.6403151859
560	0.6402669222
561	0.6402101162
562	0.6401774243
563	0.6401560329
564	0.6401310348
565	0.6401054876
566	0.6400851941
567	0.6400561371
568	0.6400301247
569	0.6399711699
570	0.639959479
571	0.6399294843
572	0.6398694933
573	0.6398489106
574	0.639821057
575	0.6397983186
576	0.6397692248
577	0.6397559319
578	0.6397311875
579	0.6396814818
580	0.6396052268
581	0.6395621341
582	0.6395417154
583	0.6395212192
584	0.6394989203
585	0.6394797629
586	0.6393608353
587	0.6393374456
588	0.6392900482
589	0.6392633248
590	0.6392266504
591	0.6392080088
592	0.6391753125
593	0.6391346923
594	0.6391183426
595	0.6390930086
596	0.63906919
597	0.6390431397
598	0.6390120589
599	0.6389889449
600	0.6389436867
601	0.6389229833
602	0.6388713452
603	0.6388208845
604	0.6387974543
605	0.6387729906
606	0.6387404981
607	0.6387052403
608	0.6386847661
609	0.638657189
610	0.6386349865
611	0.63860586
612	0.6385825344
613	0.6385592029
614	0.6385412187
615	0.6385195244
616	0.6384936479
617	0.6383638468
618	0.6383238178
619	0.6383132758
620	0.6382937749
621	0.6382687025
622	0.6382285047
623	0.6382108967
624	0.6381741555
625	0.6381199513
626	0.6380964177
627	0.6380557942
628	0.6380334897
629	0.6380112247
630	0.6379901031
631	0.6379684485
632	0.6379527257
633	0.6379178416
634	0.6379003278
635	0.6378786847
636	0.6378519941
637	0.6378266035
638	0.6377938769
639	0.6377764847
640	0.6377403521
641	0.6377209871
642	0.6376991251
643	0.6376758595
644	0.6376568715
645	0.6376382919
646	0.6376201764
647	0.6375767047
648	0.6374709187
649	0.6374053935
650	0.6373769238
651	0.6373516841
652	0.6373051573
653	0.6372722856
654	0.637252084
655	0.6372203668
656	0.6371844448
657	0.6371617106
658	0.6371397538
659	0.6371186092
660	0.6370972366
661	0.6370736357
662	0.6370418156
663	0.6370223784
664	0.6369907253
665	0.6369535481
666	0.636917911
667	0.6368959359
668	0.6368780117
669	0.6368568919
670	0.6368390726
671	0.6368155732
672	0.636794517
673	0.6367315324
674	0.6367146942
675	0.6366930899
676	0.6366841131
677	0.6366577607
678	0.6366276553
679	0.6366070832
680	0.6365624498
681	0.6365234902
682	0.6365049977
683	0.6364984393
684	0.6364804564
685	0.6364531806
686	0.6364226593
687	0.636386891
688	0.6363281523
689	0.636293906
690	0.6362610024
691	0.6362289617
692	0.6361852311
693	0.6361385794
694	0.6361166318
695	0.6360820568
696	0.636035292
697	0.6359999177
698	0.635980128
699	0.6359425646
700	0.6359228847
701	0.6358877541
702	0.6358459885
703	0.6358252165
704	0.6358078225
705	0.6357796338
706	0.6357630586
707	0.6357425759
708	0.6357191319
709	0.635696814
710	0.6356778775
711	0.635661469
712	0.6356433411
713	0.6355986269
714	0.6355768425
715	0.6355354569
716	0.6355162751
717	0.6355052513
718	0.6354757653
719	0.6354541256
720	0.635410876
721	0.6353707764
722	0.6353560392
723	0.6353376418
724	0.6353146182
725	0.6352959115
726	0.6352557433
727	0.6352330327
728	0.6352140697
729	0.635188446
730	0.6351684909
731	0.6351377182
732	0.6351283644
733	0.6351110246
734	0.6350974032
735	0.6350739921
736	0.6350562265
737	0.6350249861
738	0.635006039
739	0.6349677674
740	0.6349493987
741	0.6349084166
742	0.6348855378
743	0.6348588767
744	0.6348430339
745	0.6348319417
746	0.6347890846
747	0.6347776883
748	0.6347395994
749	0.634717269
750	0.634699221
751	0.6346759401
752	0.6346304813
753	0.6345931326
754	0.6345764608
755	0.6345569874
756	0.6345406573
757	0.6345083468
758	0.6344892144
759	0.6344719676
760	0.6344450318
761	0.6344237272
762	0.6344064366
763	0.6343606059
764	0.6343419102
765	0.634310346
766	0.6342807175
767	0.6342464598
768	0.6342179381
769	0.6342100278
770	0.634191351
771	0.6341744448
772	0.6341459477
773	0.634127183
774	0.6340989894
775	0.6340732531
776	0.6340653862
777	0.6340508658
778	0.6340170617
779	0.6339903028
780	0.6339808943
781	0.6339451449
782	0.6339220311
783	0.6339036726
784	0.6338829318
785	0.6338484294
786	0.633830811
787	0.6337887151
788	0.6337505886
789	0.6337190403
790	0.6337015086
791	0.6336801244
792	0.6336455873
793	0.6336233922
794	0.6335985616
795	0.6335831731
796	0.6335494686
797	0.6335318059
798	0.6335028158
799	0.6334923803
