iter	Passed	Remaining
552	1080	482
553	1082	480
554	1083	478
555	1085	476
556	1087	474
557	1089	472
558	1090	470
559	1092	468
560	1093	466
561	1095	464
562	1098	462
563	1100	460
564	1102	458
565	1104	456
566	1106	454
567	1109	453
568	1111	451
569	1113	449
570	1115	447
571	1117	445
572	1119	443
573	1122	441
574	1124	440
575	1127	438
576	1129	436
577	1131	434
578	1133	432
579	1135	430
580	1137	428
581	1139	426
582	1141	424
583	1143	422
584	1145	420
585	1147	419
586	1150	417
587	1151	415
588	1153	413
589	1156	411
590	1158	409
591	1159	407
592	1161	405
593	1163	403
594	1165	401
595	1167	399
596	1169	397
597	1171	395
598	1173	393
599	1175	391
600	1177	390
601	1179	388
602	1181	386
603	1183	384
604	1186	382
605	1188	380
606	1190	378
607	1192	376
608	1193	374
609	1195	372
610	1198	370
611	1200	368
612	1202	366
613	1203	364
614	1206	362
615	1208	360
616	1210	359
617	1213	357
618	1215	355
619	1218	353
620	1219	351
621	1222	349
622	1224	347
623	1226	345
624	1228	343
625	1230	341
626	1231	339
627	1233	337
628	1235	335
629	1238	334
630	1239	332
631	1241	330
632	1243	328
633	1245	326
634	1248	324
635	1250	322
636	1252	320
637	1255	318
638	1257	316
639	1259	314
640	1261	312
641	1263	310
642	1264	308
643	1266	306
644	1268	304
645	1269	302
646	1272	300
647	1274	299
648	1277	297
649	1279	295
650	1281	293
651	1283	291
652	1284	289
653	1286	287
654	1288	285
655	1290	283
656	1292	281
657	1294	279
658	1295	277
659	1297	275
660	1299	273
661	1301	271
662	1303	269
663	1305	267
664	1307	265
665	1310	263
666	1312	261
667	1314	259
668	1316	257
669	1317	255
670	1319	253
671	1321	251
672	1322	249
673	1325	247
674	1326	245
675	1328	243
676	1331	241
677	1332	239
678	1334	237
679	1336	235
680	1338	233
681	1340	231
682	1342	229
683	1345	228
684	1346	226
685	1349	224
686	1351	222
687	1353	220
688	1355	218
689	1357	216
690	1359	214
691	1361	212
692	1363	210
693	1365	208
694	1367	206
695	1369	204
696	1371	202
697	1373	200
698	1375	198
699	1377	196
700	1379	194
701	1380	192
702	1383	190
703	1385	188
704	1387	186
705	1388	184
706	1391	182
707	1393	181
708	1395	179
709	1397	177
710	1398	175
711	1400	173
712	1402	171
713	1404	169
714	1406	167
715	1408	165
716	1410	163
717	1412	161
718	1414	159
719	1416	157
720	1418	155
721	1419	153
722	1421	151
723	1423	149
724	1426	147
725	1427	145
726	1430	143
727	1433	141
728	1435	139
729	1437	137
730	1439	135
731	1441	133
732	1443	131
733	1445	129
734	1447	127
735	1449	126
736	1450	124
737	1452	122
738	1454	120
739	1456	118
740	1458	116
741	1459	114
742	1461	112
743	1463	110
744	1465	108
745	1467	106
746	1469	104
747	1471	102
748	1473	100
749	1475	98
750	1477	96
751	1479	94
752	1481	92
753	1483	90
754	1484	88
755	1486	86
756	1488	84
757	1490	82
758	1491	80
759	1493	78
760	1495	76
761	1497	74
762	1498	72
763	1500	70
764	1502	68
765	1504	66
766	1506	64
767	1508	62
768	1510	60
769	1512	58
770	1514	56
771	1516	54
772	1518	53
773	1520	51
774	1522	49
775	1524	47
776	1525	45
777	1528	43
778	1530	41
779	1532	39
780	1534	37
781	1537	35
782	1539	33
783	1541	31
784	1543	29
785	1545	27
786	1547	25
787	1549	23
788	1551	21
789	1553	19
790	1556	17
791	1558	15
792	1560	13
793	1562	11
794	1564	9
795	1566	7
796	1568	5
797	1570	3
798	1573	1
799	1575	0
